iter	Passed	Remaining
0	129	129796
1	131	65617
2	134	44606
3	135	33773
4	138	27553
5	141	23472
6	143	20294
7	144	17900
8	145	15983
9	145	14435
10	146	13171
11	148	12212
12	149	11358
13	151	10658
14	152	10040
15	154	9502
16	156	9040
17	157	8578
18	158	8200
19	160	7856
20	162	7554
21	163	7276
22	165	7022
23	166	6777
24	168	6559
25	170	6369
26	171	6187
27	173	6013
28	174	5854
29	176	5701
30	177	5558
31	179	5430
32	181	5307
33	182	5187
34	184	5076
35	185	4968
36	186	4863
37	188	4768
38	189	4678
39	191	4600
40	193	4520
41	195	4449
42	196	4378
43	198	4311
44	200	4246
45	201	4183
46	203	4121
47	204	4061
48	206	4015
49	208	3967
50	210	3919
51	212	3870
52	214	3829
53	219	3841
54	221	3804
55	223	3771
56	228	3773
57	230	3739
58	232	3706
59	234	3676
60	236	3643
61	239	3621
62	241	3593
63	243	3563
64	246	3550
65	249	3524
66	251	3497
67	253	3469
68	255	3443
69	257	3417
70	259	3391
71	261	3367
72	263	3344
73	265	3321
74	267	3298
75	269	3275
76	271	3253
77	273	3231
78	275	3210
79	277	3191
80	279	3171
81	281	3151
82	282	3119
83	284	3100
84	286	3081
85	288	3063
86	290	3043
87	292	3029
88	296	3033
89	298	3017
90	300	3001
91	302	2985
92	304	2969
93	306	2954
94	308	2940
95	310	2925
96	312	2910
97	314	2895
98	316	2880
99	318	2865
100	320	2851
101	322	2837
102	324	2823
103	326	2811
104	328	2798
105	330	2784
106	332	2771
107	334	2765
108	336	2754
109	339	2744
110	341	2731
111	342	2719
112	344	2707
113	348	2705
114	350	2694
115	352	2683
116	353	2668
117	355	2658
118	357	2647
119	359	2637
120	361	2627
121	363	2613
122	365	2603
123	367	2594
124	369	2589
125	372	2580
126	373	2568
127	374	2551
128	376	2539
129	377	2528
130	379	2516
131	381	2505
132	382	2494
133	384	2482
134	385	2471
135	387	2461
136	388	2449
137	390	2439
138	392	2433
139	394	2425
140	396	2416
141	397	2403
142	399	2395
143	401	2387
144	403	2379
145	405	2372
146	407	2364
147	409	2356
148	411	2349
149	413	2341
150	415	2334
151	417	2326
152	419	2320
153	421	2312
154	422	2305
155	424	2298
156	426	2290
157	428	2283
158	430	2276
159	432	2270
160	433	2258
161	435	2254
162	437	2248
163	439	2241
164	441	2235
165	443	2229
166	445	2223
167	447	2217
168	449	2212
169	451	2206
170	453	2200
171	455	2194
172	457	2189
173	459	2183
174	461	2177
175	463	2172
176	465	2166
177	467	2160
178	469	2155
179	471	2149
180	473	2143
181	475	2138
182	477	2132
183	481	2135
184	483	2129
185	484	2122
186	486	2114
187	488	2107
188	489	2100
189	491	2094
190	492	2087
191	494	2081
192	496	2074
193	497	2067
194	498	2059
195	500	2052
196	502	2046
197	503	2040
198	505	2035
199	507	2030
200	509	2025
201	511	2019
202	513	2014
203	514	2008
204	516	2002
205	517	1995
206	519	1990
207	521	1985
208	523	1979
209	525	1975
210	527	1971
211	528	1965
212	530	1960
213	532	1954
214	533	1948
215	536	1946
216	538	1941
217	540	1937
218	541	1932
219	543	1928
220	545	1923
221	547	1919
222	549	1914
223	551	1910
224	553	1906
225	555	1901
226	557	1897
227	559	1893
228	561	1889
229	563	1884
230	564	1880
231	566	1876
232	568	1872
233	570	1868
234	572	1864
235	574	1859
236	576	1855
237	578	1851
238	580	1847
239	582	1843
240	584	1839
241	585	1835
242	587	1831
243	589	1827
244	591	1823
245	593	1819
246	595	1816
247	597	1812
248	599	1808
249	601	1804
250	603	1801
251	605	1797
252	607	1793
253	609	1789
254	611	1785
255	613	1781
256	614	1777
257	616	1774
258	618	1770
259	620	1766
260	622	1763
261	624	1760
262	626	1756
263	628	1751
264	629	1746
265	631	1741
266	632	1736
267	634	1732
268	636	1728
269	637	1724
270	639	1719
271	641	1715
272	642	1711
273	644	1707
274	646	1703
275	647	1698
276	649	1694
277	650	1689
278	652	1685
279	653	1681
280	655	1677
281	657	1673
282	658	1669
283	660	1665
284	662	1660
285	663	1657
286	665	1653
287	667	1649
288	669	1646
289	671	1643
290	673	1639
291	675	1636
292	677	1633
293	679	1630
294	681	1627
295	683	1624
296	684	1621
297	686	1618
298	688	1614
299	690	1611
300	692	1608
301	694	1605
302	696	1602
303	698	1599
304	700	1595
305	702	1592
306	704	1589
307	706	1586
308	708	1583
309	709	1580
310	711	1577
311	713	1574
312	715	1571
313	717	1568
314	719	1565
315	721	1562
316	723	1559
317	725	1556
318	727	1553
319	729	1550
320	731	1547
321	733	1544
322	735	1541
323	737	1538
324	739	1535
325	741	1532
326	743	1529
327	745	1526
328	747	1523
329	749	1520
330	750	1517
331	752	1514
332	754	1511
333	757	1510
334	759	1507
335	761	1504
336	762	1500
337	764	1496
338	765	1492
339	767	1489
340	768	1485
341	770	1482
342	771	1478
343	773	1474
344	774	1471
345	776	1467
346	777	1463
347	779	1460
348	780	1456
349	782	1453
350	784	1449
351	785	1446
352	787	1442
353	788	1439
354	790	1435
355	791	1432
356	793	1429
357	795	1425
358	796	1422
359	798	1419
360	800	1416
361	801	1412
362	803	1409
363	804	1406
364	806	1403
365	808	1399
366	809	1396
367	811	1393
368	813	1390
369	814	1387
370	816	1385
371	818	1382
372	820	1379
373	822	1377
374	824	1374
375	826	1372
376	828	1369
377	830	1366
378	832	1364
379	834	1361
380	836	1358
381	838	1356
382	840	1353
383	842	1350
384	844	1348
385	846	1346
386	848	1343
387	849	1340
